id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,imdb_popularity,YearGroup
tm31564,Linewatch,MOVIE,2008,R,90,"['thriller', 'crime', 'drama']",['US'],0,tt1047832,5.4,2862,5.456,2000
tm95238,The Boy Who Cried Werewolf,MOVIE,2010,G,97,"['fantasy', 'horror', 'comedy', 'family']","['US', 'CA']",0,tt1451423,5.9,3264,12.362,2010
tm54147,Dostana,MOVIE,2008,PG-13,145,"['drama', 'comedy', 'romance']","['US', 'IN']",0,tt1185420,6.5,14944,6.172,2000
tm30170,Don,MOVIE,2006,PG-13,178,"['thriller', 'crime', 'action', 'european']",['IN'],0,tt0461936,7.1,36836,7.261,2000
tm34524,"One Piece: Episode of Chopper Plus: Bloom in the Winter, Miracle Cherry Blossom",MOVIE,2008,PG-13,95,"['action', 'animation', 'comedy', 'drama', 'fantasy']",['JP'],0,tt1206326,7,1189,27.125,2000
tm34846,Bleach the Movie: Fade to Black,MOVIE,2008,PG-13,94,"['fantasy', 'drama', 'animation', 'action']",['JP'],0,tt1339302,7.2,2151,32.64,2000
tm32885,Rang De Basanti,MOVIE,2006,PG-13,157,"['comedy', 'drama', 'history', 'crime']",['IN'],0,tt0460895,8.1,118092,8.761,2000
ts44663,Oscar's Oasis,SHOW,2010,TV-Y,9,"['animation', 'comedy', 'european']",['FR'],1,tt2080922,7.4,572,7.759,2010
tm82765,Swades,MOVIE,2004,G,189,"['drama', 'european']","['IN', 'US']",0,tt0367110,8.1,89085,7.152,2000
tm144345,Kal Ho Naa Ho,MOVIE,2003,PG,186,"['drama', 'comedy', 'romance']",['IN'],0,tt0347304,7.9,68028,10.229,2000
tm70222,Sivaji: The Boss,MOVIE,2007,PG-13,189,"['drama', 'crime', 'thriller', 'action']",['IN'],0,tt0479751,7.5,19556,5.544,2000
tm92977,Ishqiya,MOVIE,2010,R,115,"['comedy', 'thriller', 'romance', 'drama']",['IN'],0,tt1345777,7.3,10415,5.089,2010
ts37200,Trotro,SHOW,2004,TV-G,3,"['animation', 'family', 'european']",['FR'],2,tt1074443,6.2,120,2.886,2000
